kahve_adi,kategori,fiyat,aciklama,ozellikler,boyut_secenekleri
Espresso,espresso,15.00,"Yoğun ve aromalı İtalyan espresso","guclu,sicak,sade","Single,Double"
Double Espresso,espresso,22.00,"Çifte espresso, ekstra güçlü","guclu,sicak,sade","Double"
Americano,espresso,20.00,"Espresso ve sıcak su, klasik kombinasyon","guclu,sicak,sade","Regular,Large"
Greek Coffee,ozel,18.00,"Geleneksel Yunan kahvesi, tatlı seçenekleri ile","guclu,sicak","Küçük"
Filter Coffee,filtre,19.00,"Günlük taze filtre kahve","hafif,sicak,sade","Regular,Large"
Cappuccino,sutlu,24.00,"Espresso, süt ve köpük dengesinde","hafif,sicak","Regular,Large"
Latte,sutlu,26.00,"Yumuşak espresso ve bol süt","hafif,sicak","Regular,Large"
Flat White,sutlu,25.00,"Avustralya tarzı güçlü kahve","guclu,sicak","Regular"
Mocha,tatli,29.00,"Çikolatalı kahve, tatlı severler için","tatli,sicak","Regular,Large"
Caramel Latte,tatli,28.00,"Karamel aromalı latte","tatli,sicak","Regular,Large"
White Chocolate Mocha,tatli,31.00,"Beyaz çikolata soslu özel kahve","tatli,sicak","Regular,Large"
Freddo Espresso,soguk,22.00,"Yunanca buzlu espresso, köpüklü","guclu,soguk","Regular,Large"
Freddo Cappuccino,soguk,26.00,"Buzlu cappuccino, süt köpüğü ile","hafif,soguk","Regular,Large"
Iced Latte,soguk,27.00,"Buzlu latte, yaz favorisi","hafif,soguk","Regular,Large"
Cold Brew,soguk,24.00,"Soğuk demleme kahve","hafif,soguk,sade","Regular,Large"
Frappe,soguk,25.00,"Yunanca frappe, klasik buzlu kahve","hafif,soguk","Regular,Large"
Iced Mocha,tatli,30.00,"Buzlu çikolatalı kahve","tatli,soguk","Regular,Large"